DT,PersianDate,ContractCode,FirstPrice,MaxPrice,MinPrice,LastPrice,TradesVolume,TradesValue,OpenInterest,ChangeOpenInterest,ActiveCustomers,ActiveBrokers,C_Buy,C_Sell,LastSettlementPrice,TodaySettlementPrice,SettlementPricePercent
2025-02-17T00:00:00,1403/11/29,CD1SIB0001,970000.0,982480.0,970000.0,980000.0,490208,480110801340,7767095,412301,2000,58,142,49,965174.0,979402.0,1.4741
2025-02-18T00:00:00,1403/11/30,CD1SIB0001,989980.0,1022000.0,984000.0,1016990.0,424334,430383513790,8098972,331877,2013,58,129,45,979402.0,1014256.0,3.5587
2025-02-19T00:00:00,1403/12/01,CD1SIB0001,1034990.0,1064940.0,1000000.0,1005280.0,157301,160306226390,8216054,117082,2061,58,217,41,1014256.0,1019105.0,0.4781
2025-02-20T00:00:00,1403/12/02,CD1SIB0001,1059800.0,1070060.0,1055000.0,1060010.0,64067,68348059610,8220207,4153,2067,58,87,34,1019105.0,1066822.0,4.6822
2025-02-22T00:00:00,1403/12/04,CD1SIB0001,1090000.0,1102390.0,1067050.0,1067190.0,206919,222981165100,8388028,167821,2081,58,195,49,1066822.0,1077625.0,1.0126
2025-02-23T00:00:00,1403/12/05,CD1SIB0001,1066400.0,1066400.0,1027000.0,1039980.0,299310,310026838250,8577545,189517,2111,58,185,46,1077625.0,1035805.0,-3.8808
2025-02-24T00:00:00,1403/12/06,CD1SIB0001,1055950.0,1055950.0,1026470.0,1032960.0,192673,198446640200,8742369,164824,2131,58,115,26,1035805.0,1029966.0,-0.5637
2025-02-25T00:00:00,1403/12/07,CD1SIB0001,1019970.0,1019970.0,994560.0,1000160.0,192406,192275748770,8860845,118476,2146,58,156,33,1029966.0,999323.0,-2.9751
2025-02-26T00:00:00,1403/12/08,CD1SIB0001,1010000.0,1028000.0,1000000.0,1011980.0,218125,219804911150,8868681,7836,2174,58,145,22,999323.0,1007702.0,0.8385
2025-02-27T00:00:00,1403/12/09,CD1SIB0001,1003000.0,1018960.0,993030.0,1000980.0,14251,14270867250,8878681,10000,2170,58,44,19,1007702.0,1001394.0,-0.626
2025-03-01T00:00:00,1403/12/11,CD1SIB0001,1026000.0,1026000.0,970050.0,978090.0,59596,58623622290,8881057,2376,2183,58,168,33,1001394.0,983684.0,-1.7685
2025-03-02T00:00:00,1403/12/12,CD1SIB0001,1000000.0,1000000.0,978050.0,994390.0,326247,321286959210,9079779,198722,2193,59,145,34,983684.0,984797.0,0.1131
2025-03-03T00:00:00,1403/12/13,CD1SIB0001,999890.0,999890.0,957660.0,960000.0,344037,329894095860,9183076,103297,2214,60,153,20,984797.0,958891.0,-2.6306
2025-03-04T00:00:00,1403/12/14,CD1SIB0001,974000.0,974000.0,960000.0,960000.0,471339,454499199830,9416591,233515,2233,60,172,22,958891.0,964272.0,0.5612
2025-03-05T00:00:00,1403/12/15,CD1SIB0001,969170.0,969170.0,935000.0,943000.0,207629,196230164880,9433210,16619,2250,60,149,31,964272.0,945100.0,-1.9882
2025-03-06T00:00:00,1403/12/16,CD1SIB0001,943000.0,948970.0,935000.0,941000.0,173313,162226347160,9596665,163455,2259,60,86,15,945100.0,936031.0,-0.9596
2025-03-08T00:00:00,1403/12/18,CD1SIB0001,962000.0,973960.0,944000.0,959950.0,345152,329975151440,9882045,285380,2281,60,171,25,936031.0,956029.0,2.1365
2025-03-09T00:00:00,1403/12/19,CD1SIB0001,980000.0,995000.0,959000.0,979990.0,196832,190055673420,9996731,114686,2304,60,155,30,956029.0,965573.0,0.9983
2025-03-10T00:00:00,1403/12/20,CD1SIB0001,980000.0,995000.0,970000.0,994000.0,53708,52941273870,10024147,27416,2305,60,80,43,965573.0,985724.0,2.0869
2025-03-11T00:00:00,1403/12/21,CD1SIB0001,975000.0,989990.0,959910.0,959910.0,306013,295025728620,10209222,185075,2341,60,174,26,985724.0,964095.0,-2.1942
2025-03-12T00:00:00,1403/12/22,CD1SIB0001,988960.0,988960.0,950000.0,962610.0,414626,395837565940,10603817,394595,2349,60,181,61,964095.0,954686.0,-0.9759
2025-03-13T00:00:00,1403/12/23,CD1SIB0001,959050.0,978480.0,957000.0,964000.0,272911,261290765010,10869707,265890,2347,60,49,25,954686.0,957421.0,0.2865
2025-03-15T00:00:00,1403/12/25,CD1SIB0001,958000.0,975000.0,958000.0,966000.0,132473,128010327460,10869707,0,2347,60,137,53,957421.0,966313.0,0.9287
2025-03-16T00:00:00,1403/12/26,CD1SIB0001,970000.0,1014620.0,970000.0,1000000.0,126396,124501730150,10980953,111246,2360,60,143,57,966313.0,985013.0,1.9352
2025-03-17T00:00:00,1403/12/27,CD1SIB0001,1030000.0,1034260.0,1020010.0,1034010.0,171037,176636175920,11108109,127156,2372,60,166,52,985013.0,1032737.0,4.845
2025-03-18T00:00:00,1403/12/28,CD1SIB0001,1084370.0,1084370.0,1084000.0,1084370.0,48547,52642632890,11108109,0,2359,60,18,35,1032737.0,1084364.0,4.999
2025-03-19T00:00:00,1403/12/29,CD1SIB0001,0,0,0,0,0,0,11108109,0,2359,60,0,0,1084364.0,1084364.0,0
2025-03-20T00:00:00,1403/12/30,CD1SIB0001,0,0,0,0,0,0,11108109,0,2359,60,0,0,1084364.0,1084364.0,0
2025-03-22T00:00:00,1404/01/02,CD1SIB0001,0,0,0,0,0,0,11108109,0,2359,60,0,0,1084364.0,1084364.0,0
2025-03-23T00:00:00,1404/01/03,CD1SIB0001,0,0,0,0,0,0,11108109,0,2359,60,0,0,1084364.0,1084364.0,0
2025-03-24T00:00:00,1404/01/04,CD1SIB0001,0,0,0,0,0,0,11108109,0,2359,60,0,0,1084364.0,1084364.0,0
2025-03-25T00:00:00,1404/01/05,CD1SIB0001,1130580.0,1138580.0,1095000.0,1137000.0,126028,140553041530,11108279,170,2367,60,162,60,1084364.0,1115252.0,2.8485
2025-03-26T00:00:00,1404/01/06,CD1SIB0001,1154390.0,1171000.0,1141920.0,1157350.0,207924,241861738170,11273779,165500,2376,60,127,41,1115252.0,1163222.0,4.3013
2025-03-27T00:00:00,1404/01/07,CD1SIB0001,1197990.0,1197990.0,1150000.0,1160000.0,40355,47026902350,11293500,19721,2387,60,88,27,1163222.0,1165330.0,0.1812
2025-03-29T00:00:00,1404/01/09,CD1SIB0001,1171000.0,1223590.0,1171000.0,1223590.0,323675,392672863580,11458822,165322,2374,60,124,72,1165330.0,1213170.0,4.1053
2025-03-30T00:00:00,1404/01/10,CD1SIB0001,1224000.0,1259980.0,1200000.0,1238790.0,151052,185929873850,11460252,1430,2387,60,158,62,1213170.0,1230900.0,1.4615
2025-03-31T00:00:00,1404/01/11,CD1SIB0001,0,0,0,0,0,0,11460252,0,2387,60,0,0,1230900.0,1230900.0,0
2025-04-01T00:00:00,1404/01/12,CD1SIB0001,0,0,0,0,0,0,11460252,0,2387,60,0,0,1230900.0,1230900.0,0
2025-04-02T00:00:00,1404/01/13,CD1SIB0001,0,0,0,0,0,0,11460252,0,2387,60,0,0,1230900.0,1230900.0,0
2025-04-03T00:00:00,1404/01/14,CD1SIB0001,0,0,0,0,0,0,11460252,0,2387,60,0,0,1230900.0,1230900.0,0
2025-04-05T00:00:00,1404/01/16,CD1SIB0001,1169360.0,1169360.0,1169360.0,1169360.0,18975,22188606000,11460252,0,2407,60,100,3,1230900.0,1169360.0,-4.9996
2025-04-06T00:00:00,1404/01/17,CD1SIB0001,1110900.0,1143000.0,1110900.0,1110900.0,244741,272507517550,11592053,131801,2430,60,228,65,1169360.0,1113453.0,-4.781
2025-04-07T00:00:00,1404/01/18,CD1SIB0001,1159750.0,1169120.0,1130020.0,1157900.0,126193,145850490430,11695717,103664,2446,61,150,59,1113453.0,1155773.0,3.8008
2025-04-08T00:00:00,1404/01/19,CD1SIB0001,1097990.0,1097990.0,1097990.0,1097990.0,52888,58070495120,11705196,9479,2453,61,117,23,1155773.0,1097990.0,-4.9995
2025-04-09T00:00:00,1404/01/20,CD1SIB0001,1120000.0,1120870.0,1043100.0,1043100.0,62189,65574179980,11704994,-202,2484,61,195,37,1097990.0,1054434.0,-3.9669
2025-04-10T00:00:00,1404/01/21,CD1SIB0001,1102390.0,1102390.0,1035000.0,1060000.0,13962,14867082940,11705073,79,2488,61,56,25,1054434.0,1064825.0,0.9855
2025-04-12T00:00:00,1404/01/23,CD1SIB0001,1070000.0,1080000.0,1011590.0,1011590.0,50754,51734724210,11727079,22006,2513,61,186,27,1064825.0,1019323.0,-4.2732
2025-04-13T00:00:00,1404/01/24,CD1SIB0001,968360.0,968360.0,968360.0,968360.0,23920,23163171200,11727079,0,2517,61,106,11,1019323.0,968360.0,-4.9997
2025-04-14T00:00:00,1404/01/25,CD1SIB0001,931000.0,1016770.0,919950.0,920000.0,288137,266022824750,11727579,500,2540,61,245,38,968360.0,923251.0,-4.6583
2025-04-15T00:00:00,1404/01/26,CD1SIB0001,969400.0,969400.0,950000.0,959000.0,68813,66124988210,11736641,9062,2543,61,98,40,923251.0,960937.0,4.0819
